Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
195.7411957,15.64444542,-1032.254019,412.4774933,14.72665787,-685.0106907,-617.1726465,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
137.8222275,-73.86069775,-900.3735352,345.60009,-131.4751911,-520.1464176,-493.839612,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
123.9748764,37.64581203,-953.2704735,272.3772812,107.5722885,-826.0185814,-768.0835533,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
205.5757904,-16.9225502,-1195.847225,452.7410126,-31.4087534,-796.4003849,-790.863533,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
206.558075,-10.19702911,-1107.109022,426.734314,-6.995930672,-734.0917683,-716.3737392,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
218.4132767,26.89320087,-1094.722624,378.0594254,149.7460556,-754.2266178,-703.7004089,260.7112885,-39.99216557,-1060.994511,139.252243,-48.72376442,-1052.000399,235.3412628,57.46420383,-957.4368668,159.3037415,49.35101509,-943.4244061,bad
268.7447357,-54.06578064,-1276.901608,480.4800415,18.26185226,-746.9091225,-775.2105045,391.5019989,-91.93488121,-1274.408569,188.127594,-121.868763,-1285.15543,318.9430237,1.319174767,-1176.805773,204.0731812,-9.559907913,-1191.146793,bad
130.0518417,-260.1853466,-1091.132412,475.3661728,-177.2429466,-627.042017,-687.2091579,391.5019989,-91.93488121,-1274.408569,188.127594,-121.868763,-1285.15543,318.9430237,1.319174767,-1176.805773,204.0731812,-9.559907913,-1191.146793,bad
196.524086,-159.6841764,-1599.751682,551.9880295,-92.16366291,-1003.119221,-946.6159344,391.5019989,-91.93488121,-1274.408569,188.127594,-121.868763,-1285.15543,318.9430237,1.319174767,-1176.805773,204.0731812,-9.559907913,-1191.146793,bad
219.5219421,-92.42630482,-1338.08507,538.9617157,-75.20261765,-858.8556862,-857.5711441,391.5019989,-91.93488121,-1274.408569,188.127594,-121.868763,-1285.15543,318.9430237,1.319174767,-1176.805773,204.0731812,-9.559907913,-1191.146793,bad
30.62011719,-75.59443474,110.2011859,-106.2923431,-42.12432861,-7.520235479,-124.0666187,391.5019989,-91.93488121,-1274.408569,188.127594,-121.868763,-1285.15543,318.9430237,1.319174767,-1176.805773,204.0731812,-9.559907913,-1191.146793,bad
