Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
174.9765778,-197.4258614,-375.2571344,365.747757,6.40481472,-135.8860731,-124.680233,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
183.7228012,-179.6405625,-577.8038263,395.0635147,-2.845330238,-219.6141672,-191.0970926,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
173.6738968,-178.8884711,-467.3161268,345.5196762,-2.845373154,-95.20998716,-168.9411449,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
174.1202545,-189.7781968,-390.4740143,350.3890991,-3.448290825,-110.7947266,-163.2146394,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
183.3017731,-195.4309201,-514.9383402,404.0577698,-2.851467133,-194.2717123,-184.2539191,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
172.0903778,-186.7933702,-439.0787315,349.7157288,-5.072808266,-113.1728482,-166.0048449,209.8351288,-236.8736458,-356.3341284,127.0887756,-229.9458218,-351.8220949,204.7259521,-155.5279541,-318.922677,140.2142334,-149.1285038,-310.9659576,good
204.4409943,-202.7695942,-615.7368708,391.9425964,-4.420151711,-265.2225351,-296.5738249,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
198.0189133,-191.6360664,-533.7486935,388.1550217,2.862968445,-176.8757951,-244.5055819,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
199.9203491,-179.5299482,-596.2291861,380.537796,-0.563864708,-240.202117,-281.3120127,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
245.5934525,-222.0369101,-1063.3146,454.2575455,-8.472948074,-546.6450977,-602.11833,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
232.3061752,-237.8951597,-849.2412758,428.6074448,-5.961241722,-371.2352371,-442.5668049,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
222.0409393,-229.7121692,-740.1067829,418.6339569,0.852041245,-328.2987785,-361.5278721,247.3978424,-239.2602324,-590.3151083,155.3613281,-243.491385,-595.486536,234.4613647,-152.2357893,-542.8241301,167.5052643,-158.1245899,-547.0177746,good
174.2301178,-225.8156919,-567.6543903,389.2633057,-0.321736336,-179.7732353,-208.4009027,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
154.1698456,-199.2717147,-522.7186775,360.9909058,2.916955948,-134.4649959,-148.2208765,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
160.7345963,-197.2692633,-520.6448364,367.4396515,1.961832047,-125.2255905,-169.3318141,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
159.3548584,-214.9675512,-525.4251766,350.1889038,-1.405177116,-116.5603924,-174.0611386,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
159.4233704,-221.7957687,-509.7568703,357.7267075,-2.644400597,-115.572803,-182.091136,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
166.50383,-217.5878334,-484.2492771,355.7394791,-1.267333031,-125.813359,-156.4865756,214.572525,-270.7684422,-533.3300114,127.6412201,-266.9617009,-532.4093914,207.3648834,-173.075459,-489.419117,147.4747849,-171.4125109,-486.6038704,good
205.4977036,-191.5307522,-627.0235205,388.5533524,-0.157198906,-259.3495059,-296.3866282,254.1556931,-232.669208,-598.1880569,162.3239517,-235.8459306,-606.079073,232.5815201,-142.8153133,-547.4304056,172.293129,-146.5951252,-556.0389233,good
