Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Left Eye X,Left Eye Y,Left Eye Z,Right Eye X,Right Eye Y,Right Eye Z,Left Lip X,Left Lip Y,Left Lip Z,Right Lip X,Right Lip Y,Right Lip Z,Label
208.8985825,-187.5267506,-547.1232176,375.7245255,7.058458328,-148.510716,-251.8412089,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
206.619873,-182.4090528,-621.9644451,377.937851,6.050505638,-194.1509914,-268.8080263,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
252.7959824,-214.6955323,-1002.34683,449.3732834,-0.594463348,-478.6555624,-536.1895895,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
199.7000504,-182.4024653,-727.4954224,364.2857742,4.781327248,-260.2140355,-272.2776461,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
233.8389969,-183.9144158,-892.0872688,403.7763596,-0.188655853,-381.5559912,-436.8105268,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
224.6422195,-185.7240272,-660.7703018,390.0888443,0.775351524,-206.7520952,-286.2957501,246.7452621,-222.718792,-514.7807121,158.3652115,-224.5335317,-525.20751,231.5250015,-141.7043638,-467.2505093,165.6877518,-143.8341236,-479.2305851,good
194.8652649,-185.4009175,-574.3800831,374.2425537,4.141845703,-134.3296194,-199.7821498,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
180.8683395,-185.9627867,-575.507555,384.6593857,3.624844551,-159.0640283,-140.5841124,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
159.5710754,-224.7428083,-531.6396618,329.9365997,7.760081291,-148.5844016,-171.6695952,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
169.2968369,-216.0250497,-571.6150045,345.1656723,5.64620018,-147.7621436,-192.3857117,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
171.2652588,-208.878572,-548.0807447,334.924469,5.380382538,-102.9396737,-191.4442778,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
176.0437012,-171.7588162,-693.1567097,381.1105347,-0.722608566,-274.9345994,-247.7265501,232.9662323,-224.6744871,-539.2576075,155.2230072,-227.3070216,-544.9230337,223.2350922,-140.8534813,-487.311244,162.4674988,-141.3874125,-494.2396688,good
146.441803,-182.539773,-348.0941463,321.1168671,-8.5765028,-27.80398518,-76.9726181,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
172.2604752,-224.8976898,-378.3175135,338.3333206,-27.78004646,-66.94997013,-130.5788934,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
168.8179016,-189.8813009,-370.6237364,327.3905945,-34.16396141,1.636896841,-140.4335761,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
167.0443726,-196.1836123,-403.5188627,345.792923,-31.79117203,-65.2925688,-130.8762002,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
157.6070404,-191.7199445,-398.6560392,331.4924622,-32.2576189,-70.57324827,-132.2422814,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
163.692627,-195.6055212,-354.462204,332.3225403,-30.49409866,-66.04366243,-106.7787194,177.675705,-215.8498049,-312.6873779,113.8847733,-207.06218,-315.7330585,170.3044891,-140.1200151,-272.3934317,126.4403915,-139.4373393,-276.913898,good
187.6065826,-230.1992798,-499.2163038,374.5133209,-18.07971954,-153.0305171,-174.6530056,228.5629272,-266.6359305,-460.5817652,143.6880493,-261.9957089,-459.8052549,221.2739563,-185.3146362,-428.7435579,156.822319,-181.6457176,-426.6556406,good
