Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
245.5342484,-94.72309113,-1327.650375,570.0322342,20.43358326,-779.6033192,-756.48139,bad
211.337738,-195.9276438,-1191.08139,556.7382813,-158.4442663,-591.8701458,-609.5885181,bad
210.0848389,-187.9592085,-1522.594185,546.88797,-138.8550854,-787.883749,-791.4147377,bad
232.3644257,-182.4377203,-1847.881851,564.7866058,-113.8107634,-1037.135983,-1001.266136,bad
257.0919037,-140.993042,-1571.872673,521.3890076,46.37887001,-814.8183632,-818.863306,bad
190.1845551,-188.2580709,-1356.88448,453.3065796,-192.1781301,-653.6234379,-723.5959625,bad
166.0653305,-219.3266773,-533.3975601,431.3568497,-15.83464622,-157.5285172,-210.4866743,bad
156.5558624,-186.7475152,-781.3479137,428.8175964,-19.24070835,-301.1121225,-344.4324374,bad
216.3374329,-168.8174629,-797.5853634,420.063858,66.1149931,-339.172883,-383.3365488,bad
226.3877869,-79.40321445,-738.2302666,356.4720154,161.7271185,-232.6149845,-261.816988,bad
7.838973999,-309.5393229,-760.1133156,343.4348297,-201.8872118,-271.06076,-422.1275997,bad
7.969093323,-233.0974603,-883.7553406,367.7065277,-96.27036095,-377.3971939,-394.0046167,bad
129.1803741,-219.6631765,-666.4685154,378.6253738,-88.65550518,-267.8419161,-295.7688189,bad
228.581543,-198.8917637,-561.2151146,388.0015564,97.20235348,-96.99821591,-240.2541947,bad
33.79768372,-292.1800232,-857.4817085,289.2049408,-190.7913852,-183.2182646,-541.7394876,bad
100.1912308,-287.1115923,-914.593792,417.381897,-130.7423687,-424.3562794,-388.6741877,bad
297.0364761,-187.2812748,-882.2024059,442.5990677,96.34202957,-370.3092098,-396.8562984,bad
275.2394867,-167.7455235,-749.69244,433.1168365,97.6910305,-212.7650499,-315.7937193,bad
202.051506,-189.7840333,-430.3597498,327.4922562,37.84948826,113.3046305,-220.4267263,bad
228.3330536,-151.8080091,-407.2249889,292.9457092,102.8593254,154.4108355,-253.4369516,bad
219.8292923,-152.8341579,-304.5417023,275.9064102,94.32904243,135.5869746,-208.7775922,bad
120.6688309,-204.3627405,-332.0341945,310.5462265,-29.25260067,4.239068404,-160.5668378,bad
226.2518692,-171.2456989,-396.2647963,335.7678986,21.95201397,0.645662444,-218.3009362,bad
