Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
174.9765778,-197.4258614,-375.2571344,365.747757,6.40481472,-135.8860731,-124.680233,bad
235.9877014,-98.48161697,-372.5151873,295.3157806,92.52797127,59.31821644,-180.2901936,bad
258.880043,-113.6094475,-548.7870455,337.3191452,97.45349407,-144.9035525,-247.3629713,bad
242.3340607,-184.0512085,-399.598074,341.3799286,41.56329632,-139.858532,-176.5139222,bad
63.85009766,-254.2981124,-339.6942186,306.2195587,-139.9846172,-140.1815772,-141.6126323,bad
210.4811859,-177.4336195,-553.0539036,367.5893402,61.0376358,-200.1710701,-225.8614612,bad
212.4629211,-211.2728834,-685.1061773,404.9607849,17.02417374,-316.7057347,-339.4701147,bad
277.2277069,-116.4452505,-574.6075344,363.3267975,97.55619049,-290.9901738,-281.9427824,bad
209.0502548,-177.7017117,-468.095212,362.5173569,8.111257553,-192.69732,-152.3546433,bad
313.273468,-95.13117313,-662.4753714,359.830246,113.7356615,-198.2773447,-304.0247655,bad
289.0590668,-67.16032505,-584.3696594,332.3590851,127.1592808,-126.2583697,-273.2690549,bad
189.850502,-232.3178172,-430.3126717,341.1268997,-2.082767487,-124.8107922,-195.224905,bad
174.3964386,-218.9509535,-362.5181437,379.1142273,-9.908766747,-97.69959211,-119.007318,bad
-1.266136169,-303.2810211,-811.6508675,298.4249878,-209.523139,-373.367486,-569.5543385,bad
278.7581635,-144.1469336,-635.8763981,306.8675995,69.85918522,-152.8073251,-406.8378496,bad
260.408287,-146.1821938,-597.3518085,379.3997574,66.08572483,-153.7697446,-209.1801381,bad
306.0236359,-123.1605577,-726.106596,355.1431274,102.103157,-203.9737129,-285.884707,bad
65.61756134,-263.9938903,-478.8414288,328.4391022,-134.6838856,-202.4175596,-72.13465333,bad
188.9334869,-232.1813035,-601.0422277,410.9843445,-54.61724281,-258.6448145,-245.462594,bad
175.9093857,-244.18612,-451.8552303,401.4130783,-43.84840965,-149.1752172,-171.4381099,bad
167.3742676,-219.3785834,-495.7022238,401.6724396,-21.96935177,-156.427567,-183.5432839,bad
284.9805069,-173.2412195,-642.1646976,434.0523911,87.04987049,-207.5013328,-308.8071871,bad
257.5880432,-156.2587595,-709.9096155,405.5171204,56.27875328,-238.1608915,-281.8399358,bad
65.429039,-234.1513324,-558.4895611,313.2751083,-135.9729767,-160.6978154,-139.5474172,bad
100.0489426,-210.6868958,-433.075819,334.1845322,-64.5143795,-130.4782033,-130.136286,bad
184.587822,-218.8110495,-495.1485729,367.8725052,-46.70253754,-146.867348,-157.7205634,bad
