Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
195.7411957,15.64444542,-1032.254019,412.4774933,14.72665787,-685.0106907,-617.1726465,bad
252.3799133,67.92370319,-1156.427593,465.7332611,103.6450195,-762.6892662,-783.1395435,bad
204.1974258,48.49798679,-1234.638062,447.1001816,70.50570488,-790.4036522,-763.4840584,bad
182.368927,37.94355869,-905.8589745,376.1953735,57.9174757,-520.2219486,-515.3123903,bad
178.2946777,-39.08248901,-994.3910122,402.5358582,-40.36527157,-614.3131542,-581.8069696,bad
171.0715103,-27.8000021,-1004.734554,407.4676895,-12.69131184,-624.4026804,-576.8577576,bad
200.1075745,-73.73075008,-1249.500074,483.408432,4.622797966,-797.7117062,-777.7422523,bad
166.0845184,-189.0018797,-1455.325584,475.2873993,-107.1876383,-847.9039478,-888.502636,bad
189.8010254,-96.60664558,-1376.225052,486.4605713,-11.10078335,-831.040535,-781.8419552,bad
251.5969849,-90.76080322,-1670.870132,556.2083435,-33.65472794,-978.4010124,-954.6949196,bad
236.5258026,-103.1038141,-1560.826263,529.622879,-56.67962551,-946.2060928,-864.1905785,bad
219.5172882,-102.7445698,-1516.930561,506.9290924,-66.36278629,-926.3071918,-832.8683853,bad
220.8328247,-118.242631,-1551.500244,495.1622009,-37.28540897,-997.1553612,-931.2268353,bad
176.5416718,-331.5706444,-1278.706713,438.9782715,-262.4877763,-595.3453445,-892.5600243,bad
247.509079,-133.6985493,-1326.916351,530.0198364,49.4522953,-924.9401665,-862.4918175,bad
268.9395905,-35.82465649,-1359.801865,433.7889099,88.3238554,-876.5774918,-884.0748024,bad
253.1880951,-145.0339937,-1648.796711,450.2803802,-90.24397373,-950.8933067,-1000.800076,bad
162.7825165,-278.9783621,-1279.091492,340.1508331,-236.578474,-667.8834772,-879.2935181,bad
196.4295959,-203.1184101,-642.9293203,406.140213,-13.10450077,-262.1126533,-283.7848163,bad
163.9463425,-189.5664954,-929.9677849,424.575119,-31.38669491,-383.7210274,-420.9145975,bad
125.2601624,-263.3994055,-480.5849075,401.8727112,-98.6281085,-154.8296893,-136.6412759,bad
106.9835281,-246.7699134,-698.9232874,431.3083267,-101.1129498,-279.7517824,-257.833457,bad
105.8630753,-237.0092368,-822.7609634,423.1741333,-92.59860992,-329.6705246,-307.8037834,bad
208.9163208,-205.9107184,-1080.240326,484.6542358,-67.60801792,-549.2224216,-611.1313248,bad
375.7697296,-100.6823587,-536.130023,489.5232391,129.6876812,-163.1690526,-212.3594999,bad
289.3056488,-166.8809724,-446.3968706,480.6289673,71.8994236,-122.2025371,-128.3778405,bad
365.2871704,-14.16172028,-649.6599483,452.2151184,132.263546,-155.7793307,-279.8024654,bad
344.8613739,-132.4147797,-857.9161835,524.7966766,145.4375696,-252.1169829,-319.4310522,bad
