Nose X,Nose Y,Nose Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder Z,Label
174.9765778,-197.4258614,-375.2571344,365.747757,6.40481472,-135.8860731,-124.680233,good
178.4598541,-200.3235054,-374.0263653,369.2857361,5.446043015,-136.0117078,-125.8418441,good
176.4924622,-200.9555197,-367.7474213,364.1109467,3.163805008,-133.232671,-130.054543,good
179.8344421,-217.0492029,-371.1740398,372.5060272,3.643040657,-141.8099034,-136.6410184,good
168.1816101,-183.3273983,-355.7990599,330.1979828,4.296555519,-71.98706746,-127.2565484,good
172.7281952,-198.2342362,-367.5097561,353.4778595,1.658034325,-113.0390704,-127.322166,good
208.0480957,-210.0819612,-678.3406591,399.920578,-3.518414497,-278.9459825,-338.1745863,good
201.3321686,-180.807023,-547.4845219,379.1144562,2.492866516,-241.1208487,-243.3967352,good
207.904129,-238.5016823,-499.3080997,390.2623749,7.561426163,-213.7246156,-221.7494202,good
196.9143677,-188.0231094,-565.7560301,380.2333832,5.505137444,-209.8899794,-241.2482858,good
257.9291153,-195.6006503,-872.1014214,452.1119308,-3.057847023,-419.7852373,-485.9670067,good
238.8014984,-198.7042451,-921.5268517,426.7987061,-9.396014214,-381.5001583,-458.7029743,good
170.7472229,-204.8816729,-526.1339664,379.3457794,-9.815812111,-160.9944785,-192.9159737,good
161.0887527,-189.7496796,-479.8029041,366.8092346,-4.582028389,-108.1309927,-169.9733984,good
174.745903,-207.6595187,-481.3296175,385.552597,-5.239191055,-104.6164298,-184.7493339,good
176.6016388,-198.3031797,-472.1713972,381.3228607,-8.44681263,-110.734688,-177.0514262,good
189.881897,-194.1766119,-755.5859184,429.2742157,-11.17944717,-305.0863838,-309.3699145,good
171.9827652,-194.4245124,-521.9324684,405.7872391,-10.66467762,-143.6738348,-164.5567632,good
201.2458038,-186.8180037,-552.8205299,397.0697784,-5.426387787,-182.2052908,-258.3108044,good
194.0718842,-162.5985146,-647.9496861,387.1922302,-1.135540009,-209.7409344,-258.4126854,good
236.9670868,-155.1383257,-994.910717,425.4532623,-3.654327393,-481.548872,-489.5537853,good
227.6263046,-158.0026674,-901.7465687,383.4389114,-1.545767784,-269.8188114,-388.6772776,good
219.6682358,-204.1139817,-808.5970116,389.6321487,8.322615623,-266.3434839,-342.2152591,good
